,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABAD Damien,0.0,0.0,36185.0,50262.0,49901.0,72371.0,72518.0,69603.0,0.0,0.0,0.0
ABADIE Caroline,0.0,0.0,0.0,0.0,17638.0,5449.0,2468.0,0.0,0.0,0.0,0.0
ABBA Bérangère,0.0,0.0,0.0,0.0,0.0,0.0,16394.0,7897.0,0.0,0.0,0.0
ACQUAVIVA Jean-Félix,0.0,0.0,0.0,0.0,0.0,0.0,20712.0,12082.0,0.0,0.0,0.0
ADAM Damien,0.0,0.0,4500.0,4500.0,6000.0,29500.0,39287.0,16491.0,0.0,0.0,0.0
ADAM Lénaïck,0.0,0.0,0.0,0.0,0.0,1492.0,17976.0,74276.0,25992.0,0.0,0.0
AHAMADA Saïd,0.0,0.0,0.0,0.0,8134.0,21714.0,69463.0,40386.0,0.0,0.0,0.0
ALAUZET Éric,0.0,0.0,79353.0,41172.0,16339.0,13163.0,6741.0,1896.0,0.0,0.0,0.0
ALI Ramlati,0.0,81789.0,88163.0,94008.0,109751.0,123231.0,163884.0,80497.0,38008.0,0.0,0.0
ALIOT Louis,0.0,0.0,63096.0,69982.0,64816.0,78960.0,78960.0,39600.0,0.0,0.0,0.0
AMADOU Aude,0.0,0.0,0.0,3000.0,4800.0,14277.0,19372.0,10500.0,0.0,0.0,0.0
ANATO Patrice,0.0,21978.0,22759.0,24518.0,16789.0,26833.0,17589.0,4558.0,0.0,0.0,0.0
ANDRÉ François,0.0,0.0,45000.0,90000.0,90000.0,90000.0,90000.0,45000.0,0.0,0.0,0.0
ANGLADE Pieyre-Alexandre,0.0,0.0,0.0,27729.0,34662.0,42942.0,49485.0,23318.0,0.0,0.0,0.0
ANTHOINE Emmanuelle,0.0,29059.0,56145.0,48684.0,41271.0,41947.0,59364.0,21929.0,0.0,0.0,0.0
ARDOUIN Jean-Philippe,0.0,0.0,12800.0,13800.0,15200.0,16500.0,16300.0,10400.0,0.0,0.0,0.0
AREND Christophe,0.0,0.0,35917.0,48741.0,21822.0,61325.0,51172.0,0.0,0.0,0.0,0.0
AUBERT Julien,0.0,0.0,0.0,0.0,0.0,1643.0,28452.0,14882.0,0.0,0.0,0.0
AUTAIN Clémentine,0.0,0.0,22996.0,24187.0,28727.0,14944.0,45581.0,26457.0,0.0,0.0,0.0
AVIA Laetitia,0.0,38993.0,92490.0,84191.0,0.0,45367.0,35674.0,0.0,0.0,0.0,0.0
AVIRAGNET Joël,0.0,48120.0,39120.0,39120.0,24670.0,5670.0,12500.0,8400.0,0.0,0.0,0.0
BACHELIER Florian,0.0,122886.0,72015.0,151794.0,138695.0,129410.0,130854.0,174040.0,0.0,0.0,0.0
BAGARRY Delphine,0.0,395.0,80457.0,76672.0,89464.0,103566.0,103872.0,12530.0,0.0,0.0,0.0
BAICHÈRE Didier,0.0,0.0,190000.0,190000.0,259463.0,174898.0,157850.0,92079.0,0.0,0.0,0.0
BALANANT Erwan,0.0,0.0,9177.0,9177.0,5113.0,4835.0,10793.0,4824.0,0.0,0.0,0.0
BANNIER Géraldine,0.0,20921.0,20871.0,21094.0,27556.0,31048.0,41662.0,6343.0,0.0,0.0,0.0
BARBIER Frédéric,0.0,41097.0,27105.0,0.0,2441.0,18682.0,18560.0,18706.0,0.0,0.0,0.0
BAREIGTS Ericka,0.0,0.0,49710.0,99420.0,99420.0,97500.0,95051.0,44863.0,0.0,0.0,0.0
BARROT Jean-Noël,0.0,0.0,15493.0,138502.0,209480.0,224465.0,237996.0,84977.0,2462.0,0.0,0.0
BASSIRE Nathalie,0.0,10973.0,26609.0,27021.0,27117.0,28223.0,53580.0,37867.0,0.0,0.0,0.0
BATHO Delphine,0.0,0.0,47625.0,73332.0,46728.0,46077.0,44747.0,62272.0,0.0,0.0,0.0
BATTISTEL Marie-Noëlle,0.0,36713.0,73995.0,105439.0,103560.0,99449.0,97720.0,52914.0,0.0,0.0,0.0
BATUT Xavier,0.0,51454.0,50874.0,50257.0,37003.0,40479.0,52073.0,28001.0,0.0,0.0,0.0
BAUDU Stéphane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAZIN Thibault,0.0,57723.0,81245.0,80002.0,87952.0,94134.0,104848.0,67419.0,0.0,0.0,0.0
BAZIN-MALGRAS Valérie,0.0,15992.0,33940.0,32088.0,35684.0,36665.0,34660.0,18215.0,0.0,0.0,0.0
BEAUDOUIN-HUBIERE Sophie,0.0,23282.0,37898.0,17914.0,39431.0,39131.0,44799.0,0.0,0.0,0.0,0.0
BEAUVAIS Valérie,0.0,20500.0,44360.0,44259.0,50607.0,58069.0,74383.0,33350.0,0.0,0.0,0.0
BECHT Olivier,0.0,104002.0,105745.0,107080.0,112524.0,130861.0,131541.0,74909.0,13600.0,0.0,0.0
BELHADDAD Belkhir,0.0,0.0,0.0,0.0,40946.0,40946.0,35246.0,12912.0,0.0,0.0,0.0
BELHAMITI Mounir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELLO Huguette,0.0,31004.0,87093.0,83366.0,66598.0,56953.0,80963.0,55742.0,0.0,0.0,0.0
BENIN Justine,0.0,39388.0,19201.0,19201.0,19201.0,38442.0,42290.0,21144.0,0.0,0.0,0.0
BENOIT Thierry,0.0,0.0,30396.0,30191.0,30276.0,30116.0,30107.0,30107.0,0.0,0.0,0.0
BERGÉ Aurore,0.0,23000.0,48000.0,40400.0,50278.0,58178.0,56678.0,28278.0,0.0,0.0,0.0
BERNALICIS Ugo,0.0,0.0,8091.0,21084.0,26291.0,26933.0,28746.0,13900.0,0.0,0.0,0.0
BERTA Philippe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29849.0,0.0,0.0,0.0
BERVILLE Hervé,0.0,0.0,0.0,2858.0,24264.0,22503.0,22531.0,19900.0,0.0,0.0,0.0
BESSON-MOREAU Grégory,0.0,21206.0,86063.0,101711.0,137494.0,113848.0,154473.0,31200.0,0.0,0.0,0.0
BESSOT BALLOT Barbara,0.0,0.0,30878.0,30726.0,28570.0,58798.0,60772.0,31782.0,0.0,0.0,0.0
BIÉMOURET Gisèle,0.0,0.0,0.0,0.0,20844.0,20844.0,20844.0,10422.0,0.0,0.0,0.0
BILDE Bruno,0.0,0.0,31336.0,70502.0,78427.0,47262.0,57241.0,35415.0,0.0,0.0,0.0
BLANC Anne,0.0,34645.0,34645.0,34645.0,39411.0,60121.0,66653.0,38073.0,0.0,0.0,0.0
BLANCHET Christophe,0.0,74055.0,52938.0,58683.0,69471.0,81879.0,90657.0,37887.0,0.0,0.0,0.0
BLEIN Yves,0.0,0.0,145875.0,8374.0,28630.0,38332.0,37882.0,22895.0,0.0,0.0,0.0
BOIS Pascal,0.0,37428.0,38350.0,38871.0,31877.0,34969.0,37867.0,16200.0,0.0,0.0,0.0
BOLO Philippe,0.0,46517.0,48381.0,50959.0,61658.0,62736.0,60700.0,32348.0,0.0,0.0,0.0
BONNELL Bruno,0.0,0.0,122633.0,115680.0,118819.0,242963.0,138612.0,73115.0,0.0,0.0,0.0
BONNIVARD Émilie,0.0,26262.0,26384.0,35169.0,45290.0,32108.0,39957.0,18292.0,0.0,0.0,0.0
BONO-VANDORME Aude,0.0,0.0,47965.0,48078.0,40699.0,35547.0,15367.0,7903.0,0.0,0.0,0.0
BONY Jean-Yves,0.0,54227.0,54692.0,53989.0,55792.0,56515.0,59233.0,0.0,0.0,0.0,0.0
BOROWCZYK Julien,0.0,0.0,0.0,110000.0,140000.0,150000.0,110000.0,45000.0,0.0,0.0,0.0
BOTHOREL Éric,0.0,38394.0,51192.0,51192.0,58032.0,14508.0,18400.0,8900.0,0.0,0.0,0.0
BOUCARD Ian,0.0,4200.0,10227.0,18857.0,46625.0,67889.0,68198.0,21888.0,0.0,0.0,0.0
BOUCHET Jean-Claude,0.0,0.0,73616.0,67627.0,76206.0,75103.0,73675.0,46501.0,0.0,0.0,0.0
BOUDIÉ Florent,0.0,0.0,0.0,0.0,0.0,0.0,21427.0,11625.0,0.0,0.0,0.0
BOUILLON Christophe,0.0,0.0,48434.0,48471.0,50280.0,67867.0,73064.0,43955.0,0.0,0.0,0.0
BOURGUIGNON Brigitte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOURLANGES Jean-Louis,0.0,30627.0,42195.0,44443.0,43364.0,31167.0,12757.0,1919.0,0.0,0.0,0.0
BOURNAZEL Pierre-Yves,0.0,58306.0,55270.0,50931.0,66819.0,67675.0,69306.0,33216.0,0.0,0.0,0.0
BOUYX Bertrand,0.0,0.0,51351.0,54891.0,54375.0,57294.0,56521.0,33316.0,0.0,0.0,0.0
BOYER Pascale,0.0,16562.0,20035.0,29233.0,28563.0,28943.0,22920.0,11911.0,0.0,0.0,0.0
BOYER Valérie,0.0,0.0,47714.0,47233.0,167189.0,73774.0,67691.0,33916.0,0.0,0.0,0.0
BRAUN-PIVET Yaël,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRENIER Marine,0.0,0.0,11847.0,11847.0,40580.0,40580.0,40580.0,17086.0,0.0,0.0,0.0
BRETON Xavier,0.0,0.0,0.0,0.0,0.0,0.0,23810.0,13285.0,0.0,0.0,0.0
BRIAL Sylvain,0.0,0.0,30200.0,30200.0,30200.0,30200.0,30200.0,62631.0,33117.0,0.0,0.0
AUCONIE Sophie,0.0,2462.0,2453.0,2451.0,11315.0,41398.0,53998.0,8697.0,0.0,0.0,0.0
BRICOUT Guy,0.0,92899.0,92491.0,88644.0,88901.0,96330.0,98288.0,49509.0,0.0,0.0,0.0
BRICOUT Jean-Louis,0.0,25536.0,25536.0,25536.0,25534.0,25536.0,25536.0,12768.0,0.0,0.0,0.0
