,region
0, Député de l'Ain
1, Députée de l'Isère
2, Députée de la Haute-Marne
3, Député de la Haute-Corse
4, Député de Seine-Maritime
5, Député de la Guyane
6, Député des Bouches-du-Rhône
7, Député du Doubs
8, Députée de Mayotte
9, Député des Pyrénées-Orientales
10, Députée de la Loire-Atlantique
11, Député de la Seine-Saint-Denis
12, Député d'Ille-et-Vilaine
13, Député représentant les Français établis hors de France
14, Députée de la Drôme
15, Député de la Charente-Maritime
16, Député de la Moselle
17, Députée de l'Essonne
18, Député de Vaucluse
19, Députée de la Seine-Saint-Denis
20, Députée de Paris
21, Député de la Haute-Garonne
22, Député d'Ille-et-Vilaine
23, Députée des Alpes-de-Haute-Provence
24, Député des Yvelines
25, Député du Finistère
26, Députée de la Mayenne
27, Député du Doubs
28, Députée de La Réunion
29, Député des Yvelines
30, Députée de La Réunion
31, Députée des Deux-Sèvres
32, Députée de l'Isère
33, Député de Seine-Maritime
34, Député de Loir-et-Cher
35, Député de Meurthe-et-Moselle
36, Députée de l'Aube
37, Députée de la Haute-Vienne
38, Députée de la Marne
39, Député du Haut-Rhin
40, Député de la Moselle
41, Députée de La Réunion
42, Députée de la Guadeloupe
43, Député d'Ille-et-Vilaine
44, Députée des Yvelines
45, Député du Nord
46, Député du Gard
47, Député des Côtes-d'Armor
48, Député de l'Aube
49, Députée de la Haute-Saône
50, Députée du Gers
51, Député du Pas-de-Calais
52, Députée de l'Aveyron
53, Député du Calvados
54, Député du Rhône
55, Député de l'Oise
56, Député de Maine-et-Loire
57, Député du Rhône
58, Députée de la Savoie
59, Députée de l'Aisne
60, Député du Cantal
61, Député de la Loire
62, Député des Côtes-d'Armor
63, Député du Territoire de Belfort
64, Député de Vaucluse
65, Député de la Gironde
66, Député de Seine-Maritime
67, Députée du Pas-de-Calais
68, Député des Hauts-de-Seine
69, Député de Paris
70, Député du Calvados
71, Députée des Hautes-Alpes
72, Députée des Bouches-du-Rhône
73, Députée des Yvelines
74, Députée des Alpes-Maritimes
75, Député de l'Ain
76, Député de Wallis-Et-Futuna
77, Députée d'Indre-et-Loire
78, Député du Nord
79, Député de l'Aisne
80, Député du Val-de-Marne
81, Député de Loir-et-Cher
82, Députée du Rhône
83, Député des Alpes-Maritimes
84, Député de la Polynésie Française
85, Député des Pyrénées-Atlantiques
86, Députée du Rhône
87, Députée du Jura
88, Député de l'Ardèche
89, Député du Nord
90, Députée de la Loire-Atlantique
