,longitude,latitude
0,5.166667,46.283333
1,5.866667,45.266667
2,5.35,48.116667
3,0,0
4,1.083333,49.433333
5,0,0
6,0,0
7,5.883333,47.133333
8,0,0
9,2.933333,42.733333
10,-1.55,47.216667
11,2.308333,48.95
12,-1.616667,48.083333
13,0,0
14,4.916667,45.016667
15,-1.516667,46.208333
16,6.033333,49.166667
17,2.383333,48.616667
18,4.816667,43.95
19,2.308333,48.95
20,0,0
21,1.433333,43.6
22,-1.616667,48.083333
23,6.133333,44.066667
24,2.066667,48.766667
25,-4.116667,47.866667
26,-0.883333,48.016667
27,5.883333,47.133333
28,0,0
29,2.066667,48.766667
30,0,0
31,-0.416667,46.283333
32,5.866667,45.266667
33,1.083333,49.433333
34,1.233333,47.316667
35,6.233333,48.733333
36,4.683333,48.25
37,1.233333,45.8
38,3.983333,49.216667
39,7.566667,48
40,6.033333,49.166667
41,0,0
42,0,0
43,-1.616667,48.083333
44,2.066667,48.766667
45,3.066667,50.583333
46,4.433333,43.8
47,0,0
48,4.683333,48.25
49,5.6,47.566667
50,0.083333,43.7
51,2.733333,50.15
52,2.85,44.75
53,-0.6,49.2
54,0,0
55,2.166667,49.516667
56,-0.55,47.466667
57,0,0
58,5.816667,45.533333
59,3.383333,49.683333
60,2.233333,45.05
61,4.316667,45.433333
62,0,0
63,0,0
64,4.816667,43.95
65,-0.566667,44.833333
66,1.083333,49.433333
67,2.733333,50.15
68,2.25,48.916667
69,0,0
70,-0.6,49.2
71,5.883333,44.7
72,0,0
73,2.066667,48.766667
74,7.25,43.7
75,5.166667,46.283333
76,0,0
77,0.683333,47.383333
78,3.066667,50.583333
79,3.383333,49.683333
80,2.483333,48.766667
81,1.233333,47.316667
82,0,0
83,7.25,43.7
84,0,0
85,-0.5,43.333333
86,0,0
87,5.7,46.9
88,4.383333,44.9
89,3.066667,50.583333
90,-1.55,47.216667
91,-1.616667,46.733333
92,2.308333,48.95
93,2.166667,49.516667
94,1.433333,43.6
95,2.25,48.916667
96,5.5,48.533333
97,2.483333,48.766667
98,2.483333,48.766667
99,0,0
100,3.066667,50.583333
101,7.566667,48
102,-0.64616,44.36596
103,0,0
104,0,0
105,0.083333,43.7
106,2.933333,42.733333
107,4.433333,43.8
108,4.816667,43.95
109,5.866667,45.266667
110,0.683333,47.383333
111,4.433333,43.8
112,2.308333,48.95
113,5.883333,47.133333
114,3.166667,45.8
115,0.55,45.166667
116,3.066667,50.583333
117,6.666667,48.383333
118,-0.416667,46.283333
119,2.383333,48.616667
120,3.066667,50.583333
121,4.316667,45.433333
122,7.25,43.7
123,0,0
124,4.916667,45.016667
125,0.15,46.783333
126,-1.616667,48.083333
127,5.866667,45.266667
128,0.683333,47.383333
129,8.8,41.983333
130,2.308333,48.95
131,2.308333,48.95
132,4.333333,49.5
133,2.466667,47.283333
134,4.766667,46.433333
135,5.35,48.116667
136,-0.566667,44.833333
137,3.35,47.866667
138,0.55,45.166667
139,2.166667,49.516667
140,5.7,46.9
141,0.633333,44.2
142,-1.55,47.216667
143,2.166667,49.516667
144,-0.566667,44.833333
145,-0.566667,44.833333
146,0,0
147,4.916667,45.016667
148,3.066667,50.583333
149,2.066667,48.766667
150,3.983333,49.216667
151,0,0
152,1.866667,47.783333
153,5.816667,45.533333
154,0,0
155,3.383333,49.683333
156,0,0
157,5.166667,46.283333
158,0.55,45.166667
159,2.2,49.916667
160,3.9,43.566667
161,2.733333,50.15
162,-1.55,47.216667
163,0,0
164,3.066667,50.583333
165,2.233333,45.05
166,2.483333,48.766667
167,0,0
168,6.033333,49.166667
169,3.066667,50.583333
170,0,0
171,4.766667,46.433333
172,3.383333,49.683333
173,0,0
174,7.25,43.7
175,1.866667,47.783333
176,0,0
177,0.55,45.166667
178,1.866667,47.783333
179,3.9,43.566667
180,-0.55,47.466667
181,6.233333,45.883333
182,-1.55,47.216667
183,3.166667,46.683333
184,2.25,48.916667
